index,true_label_str,verdict,pred_binary,correct,confidence,reasoning
1,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
2,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
3,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
4,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
5,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
6,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
7,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
8,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
9,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
10,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
11,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
12,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
13,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
14,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
15,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
16,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
17,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
18,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
19,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
20,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
21,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
22,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
23,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
24,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
25,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
26,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
27,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
28,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
29,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
30,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
31,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
32,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
33,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
34,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
35,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
36,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
37,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
38,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
39,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
40,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
41,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
42,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
43,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
44,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
45,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
46,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
47,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
48,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
49,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
50,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
51,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
52,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
53,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
54,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
55,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
56,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
57,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
58,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
59,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
60,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
61,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
62,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
63,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
64,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
65,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
66,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
67,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
68,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
69,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
70,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
71,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
72,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
73,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
74,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
75,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
76,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
77,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
78,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
79,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
80,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
81,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
82,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
83,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
84,Phishing,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
85,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
86,Safe,ERROR,-1,False,N/A,The api_key client option must be set either by passing api_key to the client or by setting the GROQ_API_KEY environment variable
